industry,job_role,education_level,experience_years,ai_adoption_level,automation_risk,skill_shift_level,salary_change_percent,job_replacement_probability
Logistics,Teacher,Diploma,6,0.6398890806942148,0.4825730901713127,0.4722857008774195,9.168729927230189,0.3743029807782481
Manufacturing,Software Engineer,Bachelor,16,0.7280849268935661,0.8022789589372282,1.0,40.149970648478174,0.7009500644881311
Education,Software Engineer,Bachelor,19,0.47271641636506334,0.4403117567805708,0.7812986297676143,27.787415969531615,0.22759035183302276
Logistics,Clerk,Bachelor,3,0.5376616365119544,0.7782597172903722,1.0,28.36214195508002,0.6978737548383112
Finance,Software Engineer,Master,4,0.7064547966461904,0.6887398499619147,0.7582947540989873,17.365126346086328,0.555747265963817
Government,Software Engineer,Master,22,0.5426125003962532,0.46334007770511215,0.7713025225819652,22.71483894179603,0.30801643926383887
Education,Support Staff,Bachelor,6,0.4203597535358093,0.6533654313834765,0.8444359509412226,21.363681370278982,0.40894362232282655
Education,Clerk,Master,12,0.5671345757014938,0.6875285914007551,0.9845696107582982,29.609941208352968,0.422444781824081
Logistics,Support Staff,High School,14,0.60203802792865,0.8048776876195269,1.0,38.10057276602694,0.4906704929352686
Healthcare,Teacher,High School,10,0.47252744269313646,0.33812974210843794,0.47894024566970156,11.964466355490128,0.25110721566522964
Finance,Nurse,Master,3,0.7257861767106977,0.5335858606710132,0.8765232166540942,31.042473743073902,0.489534370518647
Logistics,Teacher,Master,12,0.6841234208820849,0.5683421148673868,0.9217461617261813,36.83656630476987,0.4585358407873403
Finance,Nurse,Bachelor,6,0.8024586477751661,0.5849932152302296,0.8784614825476244,29.752561102548754,0.35648469081056344
Finance,Support Staff,Diploma,18,0.5805648438845443,0.6600225396510573,0.7591545559174867,28.475405145149082,0.5393481527545212
Government,Teacher,Master,21,0.37471768295966335,0.28354969540180547,0.41145144155166613,13.800289294334446,0.11445366523200752
Education,Clerk,High School,1,0.45020146972321406,0.786090788110055,0.8249188487940431,23.855554787041378,0.6152314028072162
Manufacturing,Data Analyst,Bachelor,9,0.8189939050072081,0.7288629188365928,1.0,31.693017987955578,0.45551323362897406
Government,Support Staff,Master,12,0.21526132011405183,0.3631083447312503,0.46442003232345924,7.759445396633966,0.2697357183986393
Government,Nurse,High School,24,0.5480926787790694,0.5493470122542855,0.6290111712966231,18.122811982489623,0.27212354437329733
Finance,Technician,High School,20,0.6644805798968301,0.8396405362352632,0.821270361583848,26.253947835584064,0.611501131851154
Retail,Nurse,Diploma,5,0.44784611962886545,0.35567556060641764,0.5091324566357914,8.39769233670729,0.31084611283126273
Education,Technician,Bachelor,11,0.5592229077931906,0.6363524892262403,0.9384509719223917,36.96894174625794,0.3784970068160417
Healthcare,Software Engineer,Bachelor,11,0.6117015708640948,0.5876365902184979,0.8957625792419438,33.59330565195422,0.4370677515532962
Government,Teacher,Diploma,19,0.5335751464583837,0.3617207312264668,0.39456054901519433,4.117982319178385,0.16964419911913578
Manufacturing,Technician,Diploma,10,0.6657626066346798,0.8836795363292174,1.0,32.22406978430369,0.6304548069610771
Retail,Nurse,Bachelor,22,0.5434677383924215,0.5744477869371198,0.7816088455245694,21.83861495296924,0.3586859058844527
Retail,Software Engineer,Bachelor,24,0.5503023642097934,0.4273334431368371,0.5499098294819468,17.52392456643832,0.21087851864651264
Healthcare,Data Analyst,Master,6,0.693116054300616,0.5746105608859924,0.8724739793401124,28.17585743177323,0.47398402423734987
Government,Clerk,Master,0,0.2263711896021449,0.5148647815666128,0.733448227354053,24.9816281116824,0.42108408494033395
Manufacturing,Clerk,Diploma,0,0.6569939567505136,0.8908765466833721,0.9731722032261612,29.48607602242985,0.7612271221749195
Education,Clerk,Master,24,0.3168188609026211,0.5645123726363674,0.8612919001401984,35.354764328865684,0.3925139335425831
IT,Technician,High School,24,0.7439661999115549,0.8869553168120091,0.87400877086261,37.74607987409532,0.6296633197962372
Manufacturing,Data Analyst,Master,19,0.7198479559967106,0.7893796078454561,0.9549679930021406,29.834458365484082,0.5801464340895375
Healthcare,Technician,Master,12,0.4804404034829172,0.6643979511148765,0.8664560966857715,32.89233842449531,0.503117452924136
Retail,Teacher,High School,8,0.4881420133833152,0.5235245041299769,0.5123132649855755,13.73356769000253,0.36969479059719024
Education,Technician,Diploma,2,0.5454745992542089,0.7219716952802235,0.8137924256537196,24.781210758639084,0.5445510738832537
Manufacturing,Data Analyst,High School,6,0.8755058921837912,0.9573582138547684,1.0,33.24642934398091,0.8937325278360435
IT,Data Analyst,Master,5,0.6746456457973404,0.7991448637208747,1.0,37.41601916733171,0.6643777837815146
IT,Teacher,Diploma,7,0.7231215511653761,0.7126949233388628,0.9312131219268628,32.976926770399736,0.4892039388607827
Finance,Data Analyst,Master,8,0.7349002308884177,0.790790580255144,1.0,38.26053601023234,0.6119172322983072
Finance,Nurse,High School,4,0.6255263734536574,0.4553159420659078,0.6157900219960621,21.34836369394231,0.3285998878304015
Logistics,Data Analyst,High School,0,0.5389572771744086,0.6509599353275712,0.7893237348114894,24.92673261168453,0.6358525471866349
Healthcare,Clerk,Master,18,0.45335170594662855,0.7574310172930224,0.8905582822453868,37.44067540215094,0.40432752735711863
Government,Nurse,Bachelor,9,0.3128927674835102,0.27280297365774103,0.41288098616294977,9.676698571835365,0.15383694292504024
Manufacturing,Nurse,Bachelor,11,0.8470344282236361,0.8979942232986303,1.0,36.83973185946739,0.6435271548726318
Manufacturing,Teacher,High School,23,0.5978174660047101,0.5736241384572383,0.5026361010499123,15.876411849752763,0.35579250684917313
Government,Manager,High School,14,0.44811884891854153,0.2777677575357509,0.3626972999897741,2.2134035921558004,0.19326442829875612
Logistics,Manager,Bachelor,21,0.6434869919177677,0.46194593371335047,0.6146634747756451,22.576620756706767,0.20947462268669365
Retail,Data Analyst,Bachelor,23,0.4537785502767294,0.43415308554843857,0.7148913227077955,25.33946520464014,0.2896535600963187
Retail,Nurse,Master,8,0.49692329975619676,0.4070534476424371,0.7993186817064319,24.98026604578269,0.23251362161821507
